timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,ul_bandwidth,ul_throughput,rtt,retry,cwnd,loss_rate
1742811564.8793852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77,-14,-2,-77,-14,-2,N/A,0,24,N/A,nan,nan,24.5,nan,nan,nan
1742811566.9213586,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-7,16,-79,-15,1,-79,-15,1,100,1,24,N/A,129.0,15.4,24.0,0,141,0.0
1742811568.1490335,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,16,-140,-140,-10,-140,-140,-10,100,0,24,N/A,139.0,16.6,26.6,0,141,0.0
1742811569.372017,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-81,-17,0,-81,-17,0,100,0,24,N/A,145.0,17.2,23.5,0,141,0.0
1742811570.5955982,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,17,-79,-15,1,-79,-15,1,100,0,24,N/A,122.0,14.5,20.5,0,141,0.0
1742811571.8214903,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-78,-14,0,-78,-14,0,100,0,24,N/A,105.0,12.5,19.4,34,141,0.0
1742811573.0462353,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-77,-14,-1,-77,-14,-1,100,0,24,N/A,93.3,11.1,19.0,0,141,0.0
1742811574.2690823,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-79,-15,0,-79,-15,0,100,0,24,N/A,94.8,11.3,19.0,0,141,0.0
1742811575.493738,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-79,-15,1,-79,-15,1,100,0,24,N/A,94.3,11.2,18.1,0,141,0.0
1742811576.7189221,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-79,-15,1,-79,-15,1,100,0,24,N/A,121.0,14.4,18.4,0,141,0.0
1742811825.251071,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,17,-80,-15,0,-80,-15,0,100,1,24,N/A,nan,nan,18.5,nan,nan,nan
1742811826.4957514,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-8,16,-80,-15,0,-80,-15,0,100,0,24,N/A,138.0,16.5,23.1,0,108,0.0
1742811827.7684,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,17,-80,-14,0,-80,-14,0,100,0,24,N/A,144.0,17.2,23.5,0,108,0.0
1742811829.0391548,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,17,-80,-15,0,-80,-15,0,100,0,24,N/A,139.0,16.5,19.4,0,108,0.0
1742811830.3103287,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,17,-80,-14,0,-80,-14,0,100,0,24,N/A,142.0,16.9,19.5,0,111,0.0
1742811831.5811875,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-8,16,-80,-15,0,-80,-15,0,100,0,24,N/A,100.0,11.9,20.3,0,111,0.0
1742811832.8542333,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-8,17,-80,-14,-5,-80,-14,-5,100,0,24,N/A,83.8,9.99,19.4,0,111,0.0
1742811834.125708,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-8,17,-79,-13,0,-79,-13,0,100,0,24,N/A,98.2,11.7,21.6,0,111,0.0
1742811835.3919556,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-8,18,-80,-14,0,-80,-14,0,100,0,24,N/A,109.0,13.0,19.1,0,111,0.0
1742811836.6635308,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-8,16,-80,-15,-2,-80,-15,-2,100,0,24,N/A,98.4,11.7,20.4,0,111,0.0
1742811837.9361303,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-80,-14,0,-80,-14,0,100,0,24,N/A,90.7,10.8,19.9,0,111,0.0
1742811839.2084944,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,21,-80,-14,-1,-80,-14,-1,100,0,24,N/A,111.0,13.2,23.6,0,111,0.0
1742811840.47899,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,20,-80,-15,-2,-80,-15,-2,100,0,24,N/A,103.0,12.3,17.7,0,111,0.0
1742811841.7494185,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-80,-15,-1,-80,-15,-1,100,0,24,N/A,85.6,10.2,20.5,0,111,0.0
1742811843.017611,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-80,-15,-1,-80,-15,-1,100,0,24,N/A,94.5,11.3,17.7,0,111,0.0
1742811844.2890306,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-80,-14,0,-80,-14,0,100,0,24,N/A,105.0,12.5,17.4,0,111,0.0
1742811845.5601332,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-140,-140,-10,-140,-140,-10,100,0,24,N/A,106.0,12.7,18.8,0,111,0.0
1742811846.831762,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-7,19,-79,-13,-4,-79,-13,-4,100,0,24,N/A,88.1,10.5,19.6,0,111,0.0
1742811848.1057317,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-8,18,-79,-14,1,-79,-14,1,100,0,24,N/A,100.0,12.0,20.1,0,111,0.0
1742811849.3779619,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-8,16,-79,-14,-4,-79,-14,-4,100,0,24,N/A,99.7,11.9,18.7,0,111,0.0
1742811850.6165097,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-8,16,-79,-14,1,-79,-14,1,100,0,24,N/A,95.3,11.4,18.1,0,111,0.0
1742811851.8885381,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-8,21,-79,-14,0,-79,-14,0,100,0,24,N/A,89.9,10.7,17.9,0,111,0.0
1742811853.1609156,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,19,-79,-14,0,-79,-14,0,100,0,24,N/A,118.0,14.1,17.6,0,111,0.0
1742811854.4063385,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-7,21,-79,-14,0,-79,-14,0,100,0,24,N/A,95.3,11.4,17.6,0,111,0.0
1742811855.6482594,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-8,13,-79,-14,0,-79,-14,0,100,0,24,N/A,97.1,11.6,20.0,0,111,0.0
1742811856.9180079,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,23,0,0,0,0,0,0,100,0,24,N/A,94.3,11.2,23.4,0,111,0.0
1742811858.1857848,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,22,0,0,0,0,0,0,100,0,24,N/A,108.0,12.9,19.4,0,111,0.0
1742811859.452405,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,23,0,0,0,0,0,0,100,0,24,N/A,110.0,13.1,19.4,0,111,0.0
1742811860.7220976,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,23,0,0,0,0,0,0,100,0,24,N/A,97.9,11.7,18.2,0,111,0.0
1742811952.0871136,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,24,0,0,0,0,0,0,100,1,24,N/A,nan,nan,18.9,nan,nan,nan
1742811953.3602693,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,23,0,0,0,0,0,0,100,0,24,N/A,144.0,17.1,24.8,0,123,0.0
1742811954.630913,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,24,0,0,0,0,0,0,100,0,24,N/A,148.0,17.6,23.6,0,123,0.0
1742811955.90249,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,25,0,0,0,0,0,0,100,0,24,N/A,146.0,17.4,19.9,0,123,0.0
1742811957.169648,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,24,0,0,0,0,0,0,100,0,24,N/A,91.7,10.9,18.5,0,123,0.0
1742811958.4400392,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,24,0,0,0,0,0,0,100,0,24,N/A,87.9,10.5,21.8,0,123,0.0
1742811959.7118342,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,23,0,0,0,0,0,0,100,0,24,N/A,105.0,12.6,23.0,0,123,0.0
1742811960.9826756,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,23,0,0,0,0,0,0,100,0,24,N/A,97.9,11.7,22.3,25,85,0.003064351378958121
1742811962.2526586,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,23,0,0,0,0,0,0,100,0,24,N/A,84.8,10.1,20.0,0,85,0.0
1742811963.5243373,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-4,24,0,0,0,0,0,0,100,0,24,N/A,103.0,12.3,19.3,0,85,0.0
1742811964.7944398,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,22,0,0,0,0,0,0,100,0,24,N/A,107.0,12.7,32.0,0,85,0.0
1742811966.0668309,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,22,0,0,0,0,0,0,100,0,24,N/A,91.0,10.8,20.0,0,85,0.0
1742811967.3398046,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,93.5,11.2,20.5,0,85,0.0
1742811968.611159,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,102.0,12.2,25.8,0,85,0.0
1742811969.8828874,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,116.0,13.8,19.1,0,85,0.0
1742811971.154576,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-4,24,0,0,0,0,0,0,100,0,24,N/A,85.3,10.2,18.0,0,85,0.0
1742811972.4249668,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-4,24,0,0,0,0,0,0,100,0,24,N/A,108.0,12.9,20.2,0,85,0.0
1742811973.6987517,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-4,24,0,0,0,0,0,0,100,0,24,N/A,115.0,13.8,18.7,0,85,0.0
1742811974.9689598,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,86.6,10.3,18.3,0,85,0.0
1742811976.2392375,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,23,0,0,0,0,0,0,100,0,24,N/A,102.0,12.1,18.5,0,85,0.0
1742811977.5086641,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,114.0,13.6,20.0,0,85,0.0
1742811978.7773285,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-6,22,0,0,0,0,0,0,100,0,24,N/A,101.0,12.1,19.4,0,85,0.0
1742811980.045042,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-6,22,0,0,0,0,0,0,100,0,24,N/A,95.8,11.4,18.2,0,85,0.0
1742811981.2905,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,112.0,13.4,20.4,0,85,0.0
1742811982.5366995,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,110.0,13.1,21.2,0,85,0.0
1742811983.7840023,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,24,0,0,0,0,0,0,100,0,24,N/A,86.3,10.3,19.3,0,85,0.0
1742811985.0297785,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,23,0,0,0,0,0,0,100,0,24,N/A,114.0,13.5,19.2,0,85,0.0
1742811986.272603,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-4,23,0,0,0,0,0,0,100,0,24,N/A,102.0,12.2,18.4,0,85,0.0
1742811987.5434482,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-6,23,0,0,0,0,0,0,100,0,24,N/A,95.3,11.4,18.5,0,85,0.0
1742811988.7987385,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-4,23,0,0,0,0,0,0,100,0,24,N/A,95.6,11.4,18.8,0,85,0.0
1742811990.0677402,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-5,23,0,0,0,0,0,0,100,0,24,N/A,112.0,13.3,20.8,0,85,0.0
1742811991.3373616,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-5,24,0,0,0,0,0,0,100,0,24,N/A,99.7,11.9,19.7,0,85,0.0
1742811992.6066942,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-6,22,0,0,0,0,0,0,100,0,24,N/A,89.2,10.6,19.3,0,85,0.0
1742811993.8719559,NR5G-SA,LIMSRV,TDD,A120C0002,-65,-6,23,0,0,0,0,0,0,100,0,24,N/A,105.0,12.5,23.2,0,85,0.0
