timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,tx_power,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,mcs,ul_bandwidth,ul_throughput,rtt,retry,cwnd,loss_rate
1742959641.3810427,NR5G-SA,CONNECT,TDD,A120C0002,-61,-6,20,16,0,0,0,0,0,0,100,1,-43,NR N41,24,nan,nan,50.7,nan,nan,nan
1742959642.4551573,NR5G-SA,CONNECT,TDD,A120C0002,-62,-6,20,20,0,0,0,0,0,0,100,0,-43,NR N41,18,32.4,3.86,73.4,0,243.0,0.0000
1742959643.5395577,NR5G-SA,CONNECT,TDD,A120C0002,-62,-5,20,20,0,0,0,0,0,0,100,0,-43,NR N41,18,58.6,6.99,73.4,39,307.0,0.0080
1742959644.6503193,NR5G-SA,CONNECT,TDD,A120C0002,-62,-5,20,12,0,0,0,0,0,0,100,0,-43,NR N41,15,58.6,6.99,73.4,39,307.0,0.0080
1742959645.734821,NR5G-SA,CONNECT,TDD,A120C0002,-62,-5,20,12,0,0,0,0,0,0,100,0,-43,NR N41,15,58.6,6.99,73.4,39,307.0,0.0080
1742959646.8213086,NR5G-SA,CONNECT,TDD,A120C0002,-62,-5,20,15,0,0,0,0,0,0,100,0,-43,NR N41,12,58.6,6.99,32.9,39,307.0,0.0080
1742959647.9061391,NR5G-SA,CONNECT,TDD,A120C0002,-62,-5,20,15,0,0,0,0,0,0,100,0,-43,NR N41,12,39.6,4.72,66.7,367,612.0,0.1112
1742959649.0003796,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,74.1,8.83,140.0,0,973.0,0.0000
1742959650.091902,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,62.0,7.39,183.0,0,1.31,0.0000
1742959651.1448076,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,20,20,0,0,0,0,0,0,100,0,-43,NR N41,18,62.9,7.5,234.0,0,1.67,0.0000
1742959652.2063673,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,20,20,0,0,0,0,0,0,100,0,-43,NR N41,18,52.4,6.25,280.0,0,2.03,0.0000
1742959653.2518299,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,62.9,7.5,304.0,0,2.4,0.0000
1742959654.3198497,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,62.9,7.5,358.0,0,2.76,0.0000
1742959655.368012,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,62.9,7.5,360.0,0,3.1,0.0000
1742959656.4227746,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,52.4,6.25,400.0,0,3.1,0.0000
1742959657.4867013,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,62.9,7.5,419.0,0,3.1,0.0000
1742959658.543448,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,62.9,7.5,413.0,0,3.1,0.0000
1742959659.63223,NR5G-SA,CONNECT,TDD,A120C0002,-63,-5,21,20,0,0,0,0,0,0,100,0,-43,NR N41,18,52.4,6.25,409.0,0,3.1,0.0000
