timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,tx_power,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,mcs,ul_bandwidth,ul_throughput,raw_ul_throughput,rtt,retry,cwnd,loss_rate
1743423745.8010178,NR5G-SA,NOCONN,TDD,DE3B0B093,-71,-1,12,15,-79,-2,5,-79,-2,5,100,1,-57,NR N78,25,nan,nan,nan,nan,nan,nan,nan
1743423746.8825867,NR5G-SA,CONNECT,TDD,DE3B0B093,-71,-1,12,15,0,0,0,0,0,0,20,0,-57,NR N78,25,nan,nan,nan,nan,nan,nan,nan
1743423747.9950752,NR5G-SA,CONNECT,TDD,DE3B0B093,-71,-1,13,20,0,0,0,0,0,0,100,0,-56,NR N78,23,18853.0,2.25,2294,nan,0,135.0,0.0000
1743423749.0677674,NR5G-SA,CONNECT,TDD,DE3B0B093,-70,-1,15,20,0,0,0,0,0,0,100,0,-55,NR N78,23,82302.0,9.81,10013,nan,0,911.0,0.0000
1743423750.142784,NR5G-SA,CONNECT,TDD,DE3B0B093,-70,-1,15,20,0,0,0,0,0,0,100,0,-56,NR N78,24,80010.0,9.54,9735,nan,0,1.33,0.0000
1743423751.204323,NR5G-SA,CONNECT,TDD,DE3B0B093,-70,-1,16,20,0,0,0,0,0,0,100,0,-55,NR N78,24,73404.0,8.75,8931,nan,0,1.75,0.0000
1743423752.258104,NR5G-SA,CONNECT,TDD,DE3B0B093,-70,-1,16,20,0,0,0,0,0,0,100,0,-55,NR N78,23,73401.0,8.75,8930,nan,0,2.17,0.0000
1743423753.3529046,NR5G-SA,CONNECT,TDD,DE3B0B093,-69,-1,16,20,-77,-3,4,-77,-3,4,100,0,-54,NR N78,23,73401.0,8.75,8930,nan,0,2.61,0.0000
1743423754.3992138,NR5G-SA,CONNECT,TDD,DE3B0B093,-69,-1,15,20,-76,-2,6,-76,-2,6,100,0,-55,NR N78,23,73387.0,8.75,8929,nan,0,3.05,0.0000
1743423755.4926338,NR5G-SA,CONNECT,TDD,DE3B0B093,-69,-1,14,20,-76,-2,6,-76,-2,6,100,0,-54,NR N78,23,73411.0,8.75,8932,nan,0,3.17,0.0000
1743423756.5903614,NR5G-SA,CONNECT,TDD,DE3B0B093,-69,-2,14,20,-76,-3,5,-76,-3,5,100,0,-51,NR N78,24,73392.0,8.75,8929,nan,0,3.17,0.0000
1743423757.6666088,NR5G-SA,CONNECT,TDD,DE3B0B093,-69,-1,13,20,-76,-3,5,-76,-3,5,100,0,-55,NR N78,24,83897.0,10.0,10207,nan,0,3.17,0.0000
1743423758.7343092,NR5G-SA,CONNECT,TDD,DE3B0B093,-70,-1,14,20,-75,-2,5,-75,-2,5,100,0,-56,NR N78,24,73397.0,8.75,8930,nan,0,3.17,0.0000
1743423759.8104982,NR5G-SA,CONNECT,TDD,DE3B0B093,-71,-2,15,20,-75,-3,5,-75,-3,5,100,0,-56,NR N78,25,83881.0,10.0,10206,nan,0,3.17,0.0000
1743423760.8839583,NR5G-SA,CONNECT,TDD,DE3B0B093,-71,-1,15,20,-75,-2,5,-75,-2,5,100,0,-59,NR N78,25,73407.0,8.75,8931,nan,0,3.17,0.0000
1743423761.9501493,NR5G-SA,CONNECT,TDD,DE3B0B093,-72,-1,14,20,-75,-3,4,-75,-3,4,100,0,-55,NR N78,25,83883.0,10.0,10206,nan,0,3.17,0.0000
1743423763.0270638,NR5G-SA,CONNECT,TDD,DE3B0B093,-72,-1,15,20,-75,-3,4,-75,-3,4,100,0,-59,NR N78,25,83888.0,10.0,10206,nan,0,3.17,0.0000
1743423764.0796351,NR5G-SA,CONNECT,TDD,DE3B0B093,-72,-1,15,20,-75,-3,3,-75,-3,3,100,0,-53,NR N78,26,83884.0,10.0,10206,nan,0,3.17,0.0000
1743423765.120521,NR5G-SA,CONNECT,TDD,DE3B0B093,-72,-1,14,20,-75,-3,3,-75,-3,3,100,0,-58,NR N78,26,83884.0,10.0,10206,nan,0,3.17,0.0000
1743423766.1571589,NR5G-SA,CONNECT,TDD,DE3B0B093,-72,-1,14,20,-75,-3,3,-75,-3,3,100,0,-57,NR N78,25,83888.0,10.0,10206,nan,0,3.17,0.0000
