timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,tx_power,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,mcs,ul_throughput
1744275803.0821118,NR5G-SA,NOCONN,TDD,DE3B0B093,-77,-11,3,11,0,0,0,0,0,0,100,1,-52,NR N78,25,nan
1744275804.1681032,NR5G-SA,CONNECT,TDD,DE3B0B093,-77,-11,3,11,0,0,0,0,0,0,20,0,-52,NR N78,25,65650.49
1744275805.2519672,NR5G-SA,CONNECT,TDD,DE3B0B093,-76,-11,4,20,0,0,0,0,0,0,100,0,-55,NR N78,22,65590.05
1744275806.3430676,NR5G-SA,CONNECT,TDD,DE3B0B093,-75,-8,8,20,0,0,0,0,0,0,100,0,-58,NR N78,22,66652.54
1744275807.4315004,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-5,9,21,0,0,0,0,0,0,100,0,-58,NR N78,23,78451.65
1744275808.5218487,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-5,10,21,0,0,0,0,0,0,100,0,-57,NR N78,23,64863.69
1744275809.6128373,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-5,10,20,0,0,0,0,0,0,100,0,-53,NR N78,24,69356.32
1744275810.6963196,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-4,10,20,-82,-10,4,-82,-10,4,100,0,-57,NR N78,24,79351.18
1744275811.788956,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-5,10,20,-82,-11,4,-82,-11,4,100,0,-51,NR N78,24,64459.79
1744275812.8812504,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-6,10,20,-82,-12,2,-82,-12,2,100,0,-53,NR N78,24,77507.1
1744275813.9557097,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-5,10,20,-83,-12,3,-83,-12,3,100,0,-57,NR N78,24,73344.33
1744275815.0430553,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-4,10,20,-83,-11,4,-83,-11,4,100,0,-58,NR N78,24,73768.72
1744275816.1307068,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-4,10,20,-83,-12,3,-83,-12,3,100,0,-52,NR N78,24,79079.52
1744275817.2611654,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-4,11,20,-83,-11,3,-83,-11,3,100,0,-54,NR N78,23,69876.44
1744275818.346019,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-4,11,20,-83,-11,4,-83,-11,4,100,0,-58,NR N78,23,69341.76
1744275819.421838,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-4,11,20,-83,-11,3,-83,-11,3,100,0,-54,NR N78,23,71225.68
1744275820.5093815,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-4,10,20,-83,-11,4,-83,-11,4,100,0,-56,NR N78,23,74794.55
1744275821.5981784,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-3,11,20,-83,-11,4,-83,-11,4,100,0,-59,NR N78,23,79347.43
1744275822.680393,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-4,12,20,-83,-12,4,-83,-12,4,100,0,-59,NR N78,23,68451.78
1744275823.7611823,NR5G-SA,CONNECT,TDD,DE3B0B093,-74,-5,11,20,-83,-13,4,-83,-13,4,100,0,-54,NR N78,23,91027.29
