timestamp,network_mode,operator,state,duplex_mode,cell_id,rsrp,rsrq,sinr,tx_power,srxlev,channel_id,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,mcs,ul_throughput
1744426614.5718064,NR5G-SA,46011,NOCONN,TDD,DE3B0B093,-72,-2,8,10,44,627264,0,0,0,0,0,0,100,1,-56,NR N78,25,nan
1744426615.6894834,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-72,-2,8,10,44,627264,-79,-11,-8,-79,-11,-8,20,0,-54,NR N78,25,51303.27
1744426616.798547,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-71,-2,8,20,44,627264,-78,-10,0,-78,-10,0,100,0,-53,NR N78,24,93250.32
1744426617.8985035,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-70,-2,8,20,44,627264,-78,-9,0,-78,-9,0,100,0,-53,NR N78,24,82114.82
1744426619.040991,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-71,-3,8,20,44,627264,-79,-10,0,-79,-10,0,100,0,-54,NR N78,25,80739.0
1744426620.1834488,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-71,-3,8,20,44,627264,-79,-10,0,-79,-10,0,100,0,-56,NR N78,25,83035.94
1744426621.3307292,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-70,-2,8,20,44,627264,0,0,0,0,0,0,100,0,-55,NR N78,25,79654.48
1744426622.4344668,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-70,-2,8,20,44,627264,-78,-7,-2,-78,-7,-2,100,0,-54,NR N78,25,77748.15
1744426623.5426683,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-70,-2,9,20,44,627264,-79,-9,1,-79,-9,1,100,0,-56,NR N78,24,81791.72
1744426624.6491802,NR5G-SA,46011,CONNECT,TDD,DE3B0B093,-70,-2,9,20,44,627264,-79,-11,2,-79,-11,2,100,0,-52,NR N78,24,78329.35
