timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band
1742717062.7264822,LTE,NOCONN,FDD,244D082,-61,-8,16,0,0,0,5,1,31,LTE BAND 3
1742717063.7423995,LTE,NOCONN,FDD,244D082,-61,-9,17,-76,-20,0,5,0,31,LTE BAND 3
1742717064.7579522,LTE,NOCONN,FDD,244D082,-61,-9,16,-76,-20,0,5,0,31,LTE BAND 3
1742717065.7723544,LTE,NOCONN,FDD,244D082,-61,-8,17,-71,-20,0,5,0,31,LTE BAND 3
1742717066.7877893,LTE,NOCONN,FDD,244D082,-60,-9,15,-132,-20,0,5,0,31,LTE BAND 3
1742717067.807348,LTE,NOCONN,FDD,244D082,-60,-9,15,-126,-17,0,5,0,31,LTE BAND 3
1742717068.8278434,LTE,NOCONN,FDD,244D082,-61,-9,16,-122,-16,0,5,0,31,LTE BAND 3
1742717069.849984,LTE,NOCONN,TDD,6B662CD,-102,-12,4,-132,-20,0,5,1,20,LTE BAND 41
1742717070.8690898,LTE,NOCONN,TDD,6B662CD,-101,-11,6,-132,-20,0,5,0,20,LTE BAND 41
1742717071.8879683,LTE,NOCONN,TDD,6B662CD,-101,-10,5,-119,-17,0,5,0,20,LTE BAND 41
1742717072.9122777,LTE,NOCONN,TDD,6B662CD,-101,-10,7,-123,-18,0,5,0,20,LTE BAND 41
1742717073.9383526,LTE,NOCONN,FDD,244D082,-59,-8,17,-132,-20,0,5,1,31,LTE BAND 3
1742717074.9576025,LTE,NOCONN,FDD,244D082,-60,-7,15,-132,-20,0,5,0,31,LTE BAND 3
1742717075.9780495,LTE,NOCONN,FDD,244D082,-60,-8,17,-126,-17,0,5,0,31,LTE BAND 3
1742717077.0015929,LTE,NOCONN,TDD,6B662CD,-140,-20,0,-126,-17,0,5,1,31,LTE BAND 41
1742717078.024673,LTE,NOCONN,TDD,6B662CD,-102,-11,5,-132,-20,0,5,0,19,LTE BAND 41
1742717079.0439258,LTE,NOCONN,TDD,6B662CD,-102,-10,5,-112,-17,0,5,0,19,LTE BAND 41
1742717080.0669947,LTE,NOCONN,FDD,0,-140,-20,0,-97,-15,0,5,1,19,LTE BAND 3
1742717081.0918412,LTE,NOCONN,FDD,244D082,-60,-8,15,-131,-18,0,5,1,31,LTE BAND 3
1742717082.1125898,LTE,NOCONN,FDD,244D082,-60,-8,17,-126,-17,0,5,0,31,LTE BAND 3
1742717083.1343014,LTE,NOCONN,FDD,244D082,-60,-8,18,-126,-17,0,5,0,31,LTE BAND 3
1742717084.1565113,LTE,NOCONN,TDD,6B662CD,-140,-20,0,-126,-17,0,5,1,31,LTE BAND 41
1742717085.181844,LTE,NOCONN,TDD,6B662CD,-102,-12,4,-131,-18,0,5,0,19,LTE BAND 41
1742717086.2030513,LTE,NOCONN,TDD,6B662CD,-102,-11,4,-118,-16,0,5,0,19,LTE BAND 41
1742717087.2260814,LTE,NOCONN,FDD,244D082,-140,-20,0,-118,-16,0,5,1,19,LTE BAND 3
1742717088.2534225,LTE,NOCONN,FDD,244D082,-84,-12,4,-131,-18,0,5,0,31,LTE BAND 3
1742717089.2736397,LTE,NOCONN,FDD,244D082,-62,-9,16,-126,-17,0,5,0,31,LTE BAND 3
1742717090.2952719,LTE,NOCONN,FDD,0,-140,-20,0,-92,-9,0,5,1,31,LTE BAND 41
1742717091.313407,LTE,NOCONN,TDD,6B662CD,-102,-11,5,-131,-18,0,5,1,19,LTE BAND 41
1742717176.60889,LTE,NOCONN,FDD,244D082,-61,-9,17,-126,-17,0,5,1,31,LTE BAND 3
1742717177.6293933,LTE,NOCONN,FDD,244D082,-60,-9,18,-122,-16,0,5,0,31,LTE BAND 3
1742717178.6500342,LTE,NOCONN,TDD,6B662CD,-101,-9,4,-131,-18,0,5,1,19,LTE BAND 41
1742717179.6695306,LTE,NOCONN,TDD,6B662CD,-100,-9,7,-131,-18,0,5,0,19,LTE BAND 41
1742717180.6905706,LTE,NOCONN,TDD,6B662CD,-100,-9,9,-116,-16,0,5,0,19,LTE BAND 41
1742717181.7130353,LTE,NOCONN,TDD,6B662CD,-101,-9,6,-117,-17,0,5,0,19,LTE BAND 41
1742717182.7373378,LTE,NOCONN,FDD,244D082,-82,-11,5,-134,-20,0,5,1,31,LTE BAND 3
1742717183.7576842,LTE,NOCONN,FDD,244D082,-62,-8,16,-129,-18,0,5,0,31,LTE BAND 3
1742717184.7811985,LTE,NOCONN,FDD,244D082,-60,-7,17,-125,-17,0,5,0,31,LTE BAND 3
1742717331.5017602,LTE,NOCONN,FDD,244D082,-83,-11,4,-134,-20,0,5,1,31,LTE BAND 3
1742717332.5205705,LTE,NOCONN,FDD,244D082,-62,-8,16,-128,-18,0,5,0,31,LTE BAND 3
1742717333.5415797,LTE,NOCONN,FDD,244D082,-60,-7,17,-122,-17,0,5,0,31,LTE BAND 3
1742717334.5636904,LTE,NOCONN,FDD,244D082,-60,-7,18,-122,-17,0,5,0,31,LTE BAND 3
1742717335.5858774,LTE,NOCONN,FDD,244D082,-60,-7,18,-122,-17,0,5,0,31,LTE BAND 3
1742717336.6086552,LTE,NOCONN,TDD,6B662CD,-101,-9,5,-122,-17,0,5,1,19,LTE BAND 41
1742717337.634021,LTE,NOCONN,TDD,6B662CD,-101,-11,5,-134,-20,0,5,0,19,LTE BAND 41
1742717338.6548946,LTE,NOCONN,TDD,6B662CD,-101,-11,4,-118,-16,0,5,0,19,LTE BAND 41
1742717339.67769,LTE,NOCONN,TDD,6B662CD,-101,-11,4,-124,-18,0,5,0,19,LTE BAND 41
1742717340.7024412,LTE,NOCONN,FDD,244D082,-83,-11,4,-134,-20,0,5,1,31,LTE BAND 3
1742717341.7240314,LTE,NOCONN,FDD,244D082,-63,-8,14,-128,-17,0,5,0,31,LTE BAND 3
1742717342.74515,LTE,NOCONN,FDD,244D082,-61,-9,16,-121,-17,0,5,0,31,LTE BAND 3
1742717446.0455258,LTE,NOCONN,TDD,510BC00,-75,-9,16,-134,-20,0,5,1,31,LTE BAND 39
1742717447.0644982,LTE,NOCONN,TDD,510BC00,-75,-9,11,-134,-20,0,5,0,31,LTE BAND 39
1742717448.083341,LTE,NOCONN,TDD,510BC00,-76,-9,17,-134,-20,0,5,0,31,LTE BAND 39
1742717449.1024935,LTE,NOCONN,TDD,510BC00,-76,-8,16,-134,-20,0,5,0,31,LTE BAND 39
1742717450.1232665,LTE,NOCONN,TDD,510BC00,-76,-8,10,-134,-20,0,5,0,31,LTE BAND 39
1742717543.4455044,LTE,NOCONN,TDD,510BC00,-77,-8,15,-122,-16,0,5,1,31,LTE BAND 39
1742717544.4663525,LTE,NOCONN,TDD,510BC00,-77,-8,10,-122,-16,0,5,0,31,LTE BAND 39
1742717545.487937,LTE,NOCONN,TDD,510BC00,-77,-9,16,-122,-16,0,5,0,31,LTE BAND 39
1742717546.510257,LTE,NOCONN,TDD,510BC00,-77,-9,7,-122,-16,0,5,0,31,LTE BAND 39
1742717547.5317707,LTE,NOCONN,TDD,510BC00,-77,-8,15,-122,-17,0,5,0,31,LTE BAND 39
1742717548.5555103,LTE,NOCONN,TDD,510BC00,-77,-10,13,-122,-17,0,5,0,31,LTE BAND 39
1742717549.5773854,LTE,NOCONN,TDD,510BC00,-77,-9,11,-122,-17,0,5,0,31,LTE BAND 39
1742717550.598166,LTE,NOCONN,TDD,510BC00,-77,-11,15,-122,-17,0,5,0,31,LTE BAND 39
1742717551.6197355,LTE,NOCONN,TDD,510BC00,-77,-10,9,-122,-17,0,5,0,31,LTE BAND 39
1742717552.6417685,LTE,NOCONN,TDD,510BC00,-77,-9,15,-122,-17,0,5,0,31,LTE BAND 39
1742717553.6651518,LTE,NOCONN,TDD,510BC00,-77,-9,12,-122,-17,0,5,0,31,LTE BAND 39
1742717554.687596,LTE,NOCONN,TDD,510BC00,-77,-9,11,-122,-17,0,5,0,31,LTE BAND 39
1742717555.7096217,LTE,NOCONN,TDD,510BC00,-78,-9,15,-122,-16,0,5,0,31,LTE BAND 39
1742717556.7314625,LTE,NOCONN,TDD,510BC00,-78,-8,12,-122,-16,0,5,0,31,LTE BAND 39
1742717557.7530172,LTE,NOCONN,TDD,510BC00,-77,-9,15,-122,-17,0,5,0,31,LTE BAND 39
1742717558.7763395,LTE,NOCONN,TDD,510BC00,-76,-10,11,-122,-17,0,5,0,31,LTE BAND 39
1742717559.8000245,LTE,NOCONN,TDD,510BC00,-76,-9,11,-122,-16,0,5,0,31,LTE BAND 39
